Design,Variant,CORE_UTILIZATION,MAX_ROUTING_LAYER,CLK_PER,CLK_UNCERTAINTY,FLOW_STAGE,HSTRAP_LAYER,HSTRAP_WIDTH,HSTRAP_PITCH,VSTRAP_LAYER,VSTRAP_WIDTH,VSTRAP_PITCH
superblue18,1,0.5,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue18,2,0.9,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue18,3,0.8,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue18,4,0.7,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue18,5,0.95,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue19,1,0.5,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue19,2,0.9,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue19,3,0.8,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue19,4,0.7,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue19,5,0.6,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue19,6,0.95,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue1,1,0.5,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue1,2,0.9,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue1,3,0.8,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue1,4,0.7,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue1,5,0.6,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue2,1,0.5,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue2,2,0.9,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue2,3,0.8,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue2,4,0.7,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue2,5,0.6,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue3,1,0.5,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
